iter	Passed	Remaining
0	4	4352
1	8	4451
2	11	3898
3	15	3832
4	19	3868
5	22	3647
6	25	3655
7	29	3656
8	33	3687
9	37	3704
10	41	3708
11	44	3700
12	48	3702
13	51	3599
14	54	3603
15	58	3604
16	62	3605
17	66	3606
18	69	3599
19	73	3595
20	76	3543
21	78	3475
22	81	3476
23	85	3483
24	89	3485
25	92	3463
26	96	3468
27	100	3472
28	103	3470
29	107	3473
30	111	3475
31	114	3476
32	118	3479
33	122	3478
34	126	3477
35	129	3478
36	133	3477
37	137	3476
38	141	3476
39	144	3478
40	148	3476
41	152	3472
42	155	3471
43	159	3470
44	163	3466
45	166	3463
46	170	3461
47	174	3458
48	178	3457
49	181	3457
50	184	3438
51	188	3433
52	193	3451
53	197	3453
54	200	3450
55	204	3450
56	209	3461
57	213	3466
58	217	3461
59	220	3458
60	224	3461
61	228	3458
62	232	3453
63	235	3448
64	239	3446
65	243	3444
66	247	3440
67	250	3437
68	254	3434
69	258	3432
70	262	3429
71	265	3426
72	269	3423
73	287	3598
74	295	3645
75	301	3661
76	305	3664
77	309	3664
78	313	3659
79	317	3653
80	321	3647
81	325	3640
82	329	3635
83	332	3627
84	336	3620
85	339	3613
86	343	3606
87	347	3601
88	351	3595
89	354	3588
90	358	3582
91	362	3576
92	365	3568
93	369	3563
94	373	3557
95	377	3551
96	380	3546
97	384	3540
98	388	3535
99	393	3538
100	396	3532
101	400	3529
102	404	3526
103	408	3522
104	413	3524
105	417	3523
106	421	3519
107	425	3511
108	428	3506
109	432	3503
110	436	3497
111	440	3493
112	444	3487
113	448	3483
114	451	3478
115	455	3473
116	459	3467
117	463	3461
118	466	3456
119	470	3451
120	474	3446
121	478	3440
122	479	3422
123	483	3417
124	487	3411
125	489	3394
126	493	3389
127	496	3385
128	500	3381
129	504	3376
130	508	3373
131	512	3368
132	516	3363
133	519	3358
134	523	3353
135	527	3348
136	530	3343
137	534	3339
138	538	3334
139	542	3331
140	545	3325
141	549	3320
142	553	3316
143	556	3310
144	560	3306
145	564	3301
146	568	3296
147	571	3291
148	575	3287
149	579	3283
150	583	3278
151	586	3274
152	591	3275
153	594	3267
154	598	3264
155	603	3266
156	607	3263
157	611	3259
158	615	3254
159	618	3249
160	622	3245
161	626	3240
162	630	3235
163	633	3231
164	637	3226
165	641	3222
166	645	3218
167	649	3214
168	652	3209
169	656	3205
170	660	3201
171	664	3197
172	668	3193
173	671	3188
174	675	3184
175	679	3179
176	682	3175
177	686	3170
178	690	3166
179	694	3162
180	696	3153
181	700	3148
182	704	3144
183	708	3140
184	711	3136
185	715	3132
186	719	3127
187	723	3123
188	727	3119
189	730	3115
190	734	3110
191	738	3106
192	742	3102
193	745	3098
194	749	3094
195	753	3090
196	757	3085
197	760	3081
198	764	3077
199	768	3073
200	772	3069
201	775	3065
202	779	3060
203	784	3061
204	788	3057
205	792	3053
206	795	3049
207	800	3049
208	804	3045
209	808	3040
210	812	3036
211	816	3034
212	819	3029
213	823	3025
214	827	3020
215	831	3017
216	834	3012
217	838	3008
218	842	3003
219	846	2999
220	849	2995
221	853	2991
222	857	2986
223	860	2982
224	864	2978
225	868	2974
226	872	2969
227	875	2965
228	879	2960
229	883	2956
230	886	2952
231	890	2948
232	894	2944
233	898	2939
234	901	2935
235	905	2931
236	909	2927
237	913	2923
238	916	2919
239	920	2915
240	924	2911
241	928	2906
242	931	2902
243	935	2899
244	939	2894
245	943	2890
246	946	2886
247	950	2882
248	954	2877
249	957	2873
250	961	2869
251	965	2865
252	969	2861
253	972	2857
254	974	2848
255	978	2844
256	983	2843
257	987	2839
258	991	2835
259	994	2831
260	999	2829
261	1003	2826
262	1007	2822
263	1011	2818
264	1014	2812
265	1016	2805
266	1020	2802
267	1024	2798
268	1028	2794
269	1031	2789
270	1035	2785
271	1039	2781
272	1042	2777
273	1046	2773
274	1050	2768
275	1054	2765
276	1057	2760
277	1061	2756
278	1065	2752
279	1069	2749
280	1072	2744
281	1076	2740
282	1080	2736
283	1083	2732
284	1087	2728
285	1091	2724
286	1094	2719
287	1098	2715
288	1102	2711
289	1105	2707
290	1109	2703
291	1113	2699
292	1117	2695
293	1120	2691
294	1124	2687
295	1128	2683
296	1131	2679
297	1135	2675
298	1139	2671
299	1143	2667
300	1146	2663
301	1150	2659
302	1154	2655
303	1158	2651
304	1161	2647
305	1165	2643
